Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2022-08-07,16:30 (11:30),Matchweek 1,Sun,Away,W,2,0,West Ham,2,13,1,7.7,0.08,1.00,18.7,1,1,1,2.2,1.4,0.11,-0.2,-0.4,Match Report
2022-08-13,15:00 (10:00),Matchweek 2,Sat,Home,W,4,0,Bournemouth,3,19,7,36.8,0.16,0.43,17.5,0,0,0,1.7,1.7,0.09,+1.3,+1.3,Match Report
2022-08-21,16:30 (11:30),Matchweek 3,Sun,Away,D,3,3,Newcastle Utd,3,21,10,47.6,0.14,0.30,16.2,1,0,0,2.1,2.1,0.10,+0.9,+0.9,Match Report
2022-08-27,15:00 (10:00),Matchweek 4,Sat,Home,W,4,2,Crystal Palace,4,18,5,27.8,0.22,0.80,14.1,0,0,0,2.2,2.2,0.13,+1.8,+1.8,Match Report
2022-08-31,19:30 (14:30),Matchweek 5,Wed,Home,W,6,0,Nott'ham Forest,6,17,9,52.9,0.35,0.67,14.8,0,0,0,3.3,3.3,0.20,+2.7,+2.7,Match Report
2022-09-03,17:30 (12:30),Matchweek 6,Sat,Away,D,1,1,Aston Villa,1,13,4,30.8,0.08,0.25,16.8,1,0,0,2.1,2.1,0.16,-1.1,-1.1,Match Report
2022-09-17,12:30 (07:30),Matchweek 8,Sat,Away,W,3,0,Wolves,3,16,7,43.8,0.19,0.43,19.4,0,0,0,1.1,1.1,0.07,+1.9,+1.9,Match Report
2022-10-02,14:00 (09:00),Matchweek 9,Sun,Home,W,6,3,Manchester Utd,6,22,9,40.9,0.27,0.67,14.2,1,0,0,3.2,3.2,0.15,+2.8,+2.8,Match Report
2022-10-08,15:00 (10:00),Matchweek 10,Sat,Home,W,4,0,Southampton,4,21,8,38.1,0.19,0.50,13.9,0,0,0,2.4,2.4,0.12,+1.6,+1.6,Match Report
2022-10-16,16:30 (11:30),Matchweek 11,Sun,Away,L,0,1,Liverpool,0,16,6,37.5,0.00,0.00,18.4,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Match Report
2022-10-22,15:00 (10:00),Matchweek 13,Sat,Home,W,3,1,Brighton,3,9,3,33.3,0.22,0.67,15.0,0,1,1,1.6,0.8,0.09,+1.4,+1.2,Match Report
2022-10-29,12:30 (07:30),Matchweek 14,Sat,Away,W,1,0,Leicester City,1,15,5,33.3,0.07,0.20,20.8,1,0,0,1.0,1.0,0.07,0.0,0.0,Match Report
2022-11-05,15:00 (11:00),Matchweek 15,Sat,Home,W,2,1,Fulham,2,15,4,26.7,0.07,0.25,18.1,1,1,1,2.1,1.3,0.09,-0.1,-0.3,Match Report
2022-11-12,12:30 (07:30),Matchweek 16,Sat,Home,L,1,2,Brentford,1,29,6,20.7,0.03,0.17,20.9,0,0,0,1.6,1.6,0.06,-0.6,-0.6,Match Report
2022-12-28,20:00 (15:00),Matchweek 17,Wed,Away,W,3,1,Leeds United,3,26,9,34.6,0.12,0.33,16.0,0,0,0,4.3,4.3,0.17,-1.3,-1.3,Match Report
